Site,possivel_falso_positivo,provide_metadata,provide_descriptive_metadata,provide_data_license_information,provide_data_provenance_information,provide_data_quality_information,provide_a_version_indicator,provide_version_history,gather_feedback_from_data_consumers,make_feedback_available,provide_bulk_download,provide_data_up_to_date,use_persistent_URIs_as_identifiers_of_datasets,use_machine_readable_standardized_data_formats,provide_data_in_multiple_formats,assess_dataset_coverage,provide_feedback_to_the_original_publisher,cite_the_original_publication
http://apidadosabertos.tce.rn.gov.br/swagger/ui/index,False,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
http://dados.mprs.mp.br/dados_abertos/datasets/extrajudicial/em_andamento/,False,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
http://dados.mprs.mp.br/dados_abertos/datasets/extrajudicial/entradas/,False,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
http://dados.mprs.mp.br/dados_abertos/datasets/extrajudicial/movimentos/,False,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
http://dados.mprs.mp.br/dados_abertos/datasets/extrajudicial/saidas/,False,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
http://dados.mprs.mp.br/dados_abertos/datasets/judicial/em_carga/,False,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
http://dados.mprs.mp.br/dados_abertos/datasets/judicial/entradas/,False,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
http://dados.mprs.mp.br/dados_abertos/datasets/judicial/movimentos/,False,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
http://dados.mprs.mp.br/dados_abertos/datasets/judicial/processos_novos/,False,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
http://dados.mprs.mp.br/dados_abertos/datasets/judicial/processos_saidas/,False,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
http://dados.mprs.mp.br/dados_abertos/datasets/relacao_promotorias/,False,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
http://dados.mprs.mp.br/dados_abertos/datasets/tacs/encerrados/,False,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
http://dados.mprs.mp.br/dados_abertos/datasets/tacs/firmados/,False,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
http://dadosabertos.almg.gov.br/ws/agenda/ajuda,False,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0
http://dadosabertos.almg.gov.br/ws/ajuda/sobre,False,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0
http://orcamento.dados.gov.br/siopdoc/doku.php/acesso_publico:dados_abertos/,False,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
http://www.camara.sp.gov.br/transparencia/dados-abertos/,False,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
http://www.seguranca.mg.gov.br/2018-08-22-13-39-06/dados-abertos,False,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
http://www.transparencia.go.gov.br/portaldatransparencia/institucional/dados-abertos,False,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
https://dados.gov.br/pagina/dados-abertos,False,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
https://dados.pb.gov.br/,False,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0
https://dados.pbh.gov.br/dataset,False,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
https://dados.pbh.gov.br/dataset/dados-da-estrutura-organizacional-da-pmbh,False,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
https://dados.pbh.gov.br/dataset/feed-gtfs-estatico-do-sistema-suplementar,False,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
https://dados.pbh.gov.br/dataset/urpv-unidades-de-recebimento-de-pequenos-volumes,False,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
https://dadosabertos.camara.leg.br/swagger/api.html#staticfile,False,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
https://fump.ufmg.br/,True,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://g1.globo.com/,True,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0
https://opendatasus.saude.gov.br/dataset,False,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
https://opendatasus.saude.gov.br/dataset/covid-19-vacinacao,False,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
https://opendatasus.saude.gov.br/dataset/notificacoes-de-sindrome-gripal-leve-2022,False,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
https://opendatasus.saude.gov.br/dataset/registro-de-ocupacao-hospitalar-covid-19,False,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1
https://pt.wikipedia.org/wiki/Dados_abertos,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
https://translate.google.com.br/,True,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0
https://transparencia.tce.sp.gov.br/conjunto-de-dados,False,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
https://ufmg.br/,False,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0
https://www.al.sp.gov.br/dados-abertos/grupo/1,False,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
https://www.amazon.com.br/,False,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0
https://www.climatempo.com.br/previsao-do-tempo/15-dias/cidade/107/belohorizonte-mg,False,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
https://www.cnj.jus.br/sistema-carcerario/covid-19/registros-de-contagios-obitos/,False,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
https://www.cnnbrasil.com.br/,False,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://www.curitiba.pr.gov.br/dadosabertos/busca/,False,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
https://www.curitiba.pr.gov.br/dadosabertos/busca/?pagina=2,False,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
https://www.curitiba.pr.gov.br/dadosabertos/busca/?pagina=3,False,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
https://www.curitiba.pr.gov.br/dadosabertos/busca/?pagina=4,False,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
https://www.curitiba.pr.gov.br/dadosabertos/busca/?pagina=5,False,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
https://www.curitiba.pr.gov.br/dadosabertos/busca/?pagina=6,False,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
https://www.curitiba.pr.gov.br/dadosabertos/busca/?pagina=7,False,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
https://www.curitiba.pr.gov.br/dadosabertos/busca/?pagina=8,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
https://www.curitiba.pr.gov.br/dadosabertos/busca/?pagina=9,False,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
https://www.youtube.com/watch?v=5qap5aO4i9A,True,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0
https://www12.senado.leg.br/dados-abertos/conjuntos?portal=Administrativo/grupo=gestao-de-pessoas,False,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
